id,prompt,model_x,model_y,worker,winner,left,right
21,8,98,86,67,right,Weaver 12k,Jurassic 2 Mid
21,8,98,86,20,right,Weaver 12k,Jurassic 2 Mid
22,8,87,98,37,left,Jurassic 2 Ultra,Weaver 12k
22,8,87,98,63,left,Jurassic 2 Ultra,Weaver 12k
22,8,87,98,89,left,Jurassic 2 Ultra,Weaver 12k
22,8,87,98,24,left,Jurassic 2 Ultra,Weaver 12k
22,8,87,98,19,tie,Jurassic 2 Ultra,Weaver 12k
23,8,23,98,107,right,Koala (13B),Weaver 12k
23,8,23,98,38,left,Koala (13B),Weaver 12k
23,8,23,98,91,right,Koala (13B),Weaver 12k
23,8,23,98,14,right,Koala (13B),Weaver 12k
24,8,22,98,90,right,LLaMA 2 SFT v10 (70B),Weaver 12k
24,8,22,98,84,left,LLaMA 2 SFT v10 (70B),Weaver 12k
24,8,22,98,37,left,LLaMA 2 SFT v10 (70B),Weaver 12k
24,8,22,98,89,right,LLaMA 2 SFT v10 (70B),Weaver 12k
24,8,22,98,52,left,LLaMA 2 SFT v10 (70B),Weaver 12k
25,8,98,16,116,tie,Weaver 12k,LLaMA-2-Chat (13B)
25,8,98,16,97,tie,Weaver 12k,LLaMA-2-Chat (13B)
25,8,98,16,40,tie,Weaver 12k,LLaMA-2-Chat (13B)
26,8,17,98,15,right,LLaMA-2-Chat (70B),Weaver 12k
26,8,17,98,58,left,LLaMA-2-Chat (70B),Weaver 12k
26,8,17,98,116,right,LLaMA-2-Chat (70B),Weaver 12k
27,8,15,98,47,tie,LLaMA-2-Chat (7B),Weaver 12k
27,8,15,98,99,right,LLaMA-2-Chat (7B),Weaver 12k
27,8,15,98,22,right,LLaMA-2-Chat (7B),Weaver 12k
27,8,15,98,85,right,LLaMA-2-Chat (7B),Weaver 12k
27,8,15,98,107,tie,LLaMA-2-Chat (7B),Weaver 12k
28,8,91,98,97,right,Luminous Base,Weaver 12k
28,8,91,98,40,tie,Luminous Base,Weaver 12k
29,8,98,93,3,left,Weaver 12k,Luminous Base Control
29,8,98,93,91,left,Weaver 12k,Luminous Base Control
29,8,98,93,12,right,Weaver 12k,Luminous Base Control
29,8,98,93,77,left,Weaver 12k,Luminous Base Control
29,8,98,93,85,left,Weaver 12k,Luminous Base Control
30,8,98,90,97,tie,Weaver 12k,Luminous Extended
30,8,98,90,116,tie,Weaver 12k,Luminous Extended
30,8,98,90,15,left,Weaver 12k,Luminous Extended
31,8,98,92,97,left,Weaver 12k,Luminous Extended Control
31,8,98,92,70,left,Weaver 12k,Luminous Extended Control
31,8,98,92,48,left,Weaver 12k,Luminous Extended Control
31,8,98,92,55,left,Weaver 12k,Luminous Extended Control
32,8,88,98,89,right,Luminous Supreme,Weaver 12k
32,8,88,98,110,right,Luminous Supreme,Weaver 12k
32,8,88,98,4,right,Luminous Supreme,Weaver 12k
32,8,88,98,47,tie,Luminous Supreme,Weaver 12k
32,8,88,98,11,right,Luminous Supreme,Weaver 12k
33,8,98,89,42,tie,Weaver 12k,Luminous Supreme Control
33,8,98,89,121,left,Weaver 12k,Luminous Supreme Control
33,8,98,89,101,right,Weaver 12k,Luminous Supreme Control
33,8,98,89,46,left,Weaver 12k,Luminous Supreme Control
33,8,98,89,67,tie,Weaver 12k,Luminous Supreme Control
34,8,28,98,110,right,MPT-Chat (30B),Weaver 12k
34,8,28,98,11,right,MPT-Chat (30B),Weaver 12k
34,8,28,98,89,right,MPT-Chat (30B),Weaver 12k
34,8,28,98,58,tie,MPT-Chat (30B),Weaver 12k
35,8,27,98,36,right,MPT-Chat (7B),Weaver 12k
35,8,27,98,85,right,MPT-Chat (7B),Weaver 12k
35,8,27,98,91,right,MPT-Chat (7B),Weaver 12k
35,8,27,98,14,right,MPT-Chat (7B),Weaver 12k
35,8,27,98,38,left,MPT-Chat (7B),Weaver 12k
36,8,98,96,70,left,Weaver 12k,Mythalion 13B
36,8,98,96,40,right,Weaver 12k,Mythalion 13B
36,8,98,96,97,left,Weaver 12k,Mythalion 13B
37,8,11,98,11,right,MythoMax-L2 (13B),Weaver 12k
37,8,11,98,91,right,MythoMax-L2 (13B),Weaver 12k
37,8,11,98,41,tie,MythoMax-L2 (13B),Weaver 12k
37,8,11,98,47,tie,MythoMax-L2 (13B),Weaver 12k
37,8,11,98,22,right,MythoMax-L2 (13B),Weaver 12k
38,8,98,14,47,tie,Weaver 12k,Open-Assistant Pythia SFT-4 (12B)
38,8,98,14,11,right,Weaver 12k,Open-Assistant Pythia SFT-4 (12B)
38,8,98,14,41,tie,Weaver 12k,Open-Assistant Pythia SFT-4 (12B)
38,8,98,14,89,left,Weaver 12k,Open-Assistant Pythia SFT-4 (12B)
39,8,98,13,79,left,Weaver 12k,Open-Assistant StableLM SFT-7 (7B)
39,8,98,13,12,left,Weaver 12k,Open-Assistant StableLM SFT-7 (7B)
39,8,98,13,67,left,Weaver 12k,Open-Assistant StableLM SFT-7 (7B)
39,8,98,13,107,tie,Weaver 12k,Open-Assistant StableLM SFT-7 (7B)
39,8,98,13,20,right,Weaver 12k,Open-Assistant StableLM SFT-7 (7B)
40,8,98,94,107,left,Weaver 12k,PaLM 2 Bison
40,8,98,94,119,left,Weaver 12k,PaLM 2 Bison
40,8,98,94,102,left,Weaver 12k,PaLM 2 Bison
41,8,98,95,20,right,Weaver 12k,PaLM 2 Bison (Code Chat)
41,8,98,95,38,tie,Weaver 12k,PaLM 2 Bison (Code Chat)
41,8,98,95,91,left,Weaver 12k,PaLM 2 Bison (Code Chat)
41,8,98,95,107,tie,Weaver 12k,PaLM 2 Bison (Code Chat)
42,8,98,10,47,tie,Weaver 12k,Platypus-2 Instruct (70B)
42,8,98,10,89,left,Weaver 12k,Platypus-2 Instruct (70B)
42,8,98,10,58,right,Weaver 12k,Platypus-2 Instruct (70B)
42,8,98,10,51,right,Weaver 12k,Platypus-2 Instruct (70B)
42,8,98,10,11,right,Weaver 12k,Platypus-2 Instruct (70B)
43,8,2,98,116,tie,Pythia-Chat-Base (7B),Weaver 12k
43,8,2,98,15,right,Pythia-Chat-Base (7B),Weaver 12k
43,8,2,98,55,right,Pythia-Chat-Base (7B),Weaver 12k
44,8,98,6,42,left,Weaver 12k,Qwen-Chat (7B)
44,8,98,6,67,tie,Weaver 12k,Qwen-Chat (7B)
44,8,98,6,3,left,Weaver 12k,Qwen-Chat (7B)
44,8,98,6,2,right,Weaver 12k,Qwen-Chat (7B)
44,8,98,6,101,left,Weaver 12k,Qwen-Chat (7B)
45,8,98,99,15,left,Weaver 12k,ReMM SLERP L2 13B
45,8,98,99,116,right,Weaver 12k,ReMM SLERP L2 13B
46,8,1,98,58,tie,RedPajama-INCITE Chat (3B),Weaver 12k
46,8,1,98,85,right,RedPajama-INCITE Chat (3B),Weaver 12k
46,8,1,98,12,right,RedPajama-INCITE Chat (3B),Weaver 12k
46,8,1,98,115,right,RedPajama-INCITE Chat (3B),Weaver 12k
46,8,1,98,14,right,RedPajama-INCITE Chat (3B),Weaver 12k
47,8,3,98,11,right,RedPajama-INCITE Chat (7B),Weaver 12k
47,8,3,98,22,right,RedPajama-INCITE Chat (7B),Weaver 12k
47,8,3,98,47,tie,RedPajama-INCITE Chat (7B),Weaver 12k
47,8,3,98,41,tie,RedPajama-INCITE Chat (7B),Weaver 12k
48,8,98,12,78,left,Weaver 12k,StarCoderChat Alpha (16B)
48,8,98,12,37,left,Weaver 12k,StarCoderChat Alpha (16B)
48,8,98,12,23,left,Weaver 12k,StarCoderChat Alpha (16B)
49,8,25,98,116,right,Vicuna v1.3 (13B),Weaver 12k
49,8,25,98,41,tie,Vicuna v1.3 (13B),Weaver 12k
49,8,25,98,85,right,Vicuna v1.3 (13B),Weaver 12k
49,8,25,98,11,right,Vicuna v1.3 (13B),Weaver 12k
49,8,25,98,47,tie,Vicuna v1.3 (13B),Weaver 12k
50,8,24,98,97,tie,Vicuna v1.3 (7B),Weaver 12k
50,8,24,98,70,right,Vicuna v1.3 (7B),Weaver 12k
50,8,24,98,40,left,Vicuna v1.3 (7B),Weaver 12k
51,8,98,26,3,left,Weaver 12k,Vicuna v1.5 (13B)
51,8,98,26,67,right,Weaver 12k,Vicuna v1.5 (13B)
51,8,98,26,117,left,Weaver 12k,Vicuna v1.5 (13B)
51,8,98,26,48,left,Weaver 12k,Vicuna v1.5 (13B)
51,8,98,26,20,right,Weaver 12k,Vicuna v1.5 (13B)
52,8,21,98,116,right,Vicuna-FastChat-T5 (3B),Weaver 12k
52,8,21,98,15,right,Vicuna-FastChat-T5 (3B),Weaver 12k
52,8,21,98,115,right,Vicuna-FastChat-T5 (3B),Weaver 12k
52,8,21,98,14,tie,Vicuna-FastChat-T5 (3B),Weaver 12k
53,8,85,97,70,left,Jurassic 2 Light,Airoboros L2 70B
53,8,85,97,97,tie,Jurassic 2 Light,Airoboros L2 70B
53,8,85,97,53,left,Jurassic 2 Light,Airoboros L2 70B
53,8,85,97,87,right,Jurassic 2 Light,Airoboros L2 70B
53,8,85,97,48,tie,Jurassic 2 Light,Airoboros L2 70B
54,8,29,85,47,tie,Alpaca (7B),Jurassic 2 Light
54,8,29,85,110,left,Alpaca (7B),Jurassic 2 Light
54,8,29,85,89,left,Alpaca (7B),Jurassic 2 Light
55,8,5,85,116,right,Chronos Hermes (13B),Jurassic 2 Light
55,8,5,85,15,right,Chronos Hermes (13B),Jurassic 2 Light
56,8,85,83,116,left,Jurassic 2 Light,Claude Instant v1
56,8,85,83,15,left,Jurassic 2 Light,Claude Instant v1
57,8,101,85,53,left,Claude v1,Jurassic 2 Light
57,8,101,85,87,left,Claude v1,Jurassic 2 Light
57,8,101,85,70,right,Claude v1,Jurassic 2 Light
57,8,101,85,97,left,Claude v1,Jurassic 2 Light
57,8,101,85,48,left,Claude v1,Jurassic 2 Light
58,8,100,85,61,right,Claude v1.2,Jurassic 2 Light
58,8,100,85,15,right,Claude v1.2,Jurassic 2 Light
58,8,100,85,58,left,Claude v1.2,Jurassic 2 Light
58,8,100,85,14,left,Claude v1.2,Jurassic 2 Light
59,8,85,84,20,right,Jurassic 2 Light,Claude v2
59,8,85,84,107,right,Jurassic 2 Light,Claude v2
59,8,85,84,38,right,Jurassic 2 Light,Claude v2
59,8,85,84,93,tie,Jurassic 2 Light,Claude v2
59,8,85,84,91,tie,Jurassic 2 Light,Claude v2
60,8,19,85,107,tie,Code Llama Instruct (13B),Jurassic 2 Light
60,8,19,85,109,right,Code Llama Instruct (13B),Jurassic 2 Light
60,8,19,85,19,tie,Code Llama Instruct (13B),Jurassic 2 Light
61,8,85,20,11,right,Jurassic 2 Light,Code Llama Instruct (34B)
61,8,85,20,85,tie,Jurassic 2 Light,Code Llama Instruct (34B)
61,8,85,20,47,tie,Jurassic 2 Light,Code Llama Instruct (34B)
61,8,85,20,22,tie,Jurassic 2 Light,Code Llama Instruct (34B)
61,8,85,20,91,tie,Jurassic 2 Light,Code Llama Instruct (34B)
62,8,85,18,22,tie,Jurassic 2 Light,Code Llama Instruct (7B)
62,8,85,18,47,tie,Jurassic 2 Light,Code Llama Instruct (7B)
62,8,85,18,11,right,Jurassic 2 Light,Code Llama Instruct (7B)
63,8,85,9,116,left,Jurassic 2 Light,Dolly v2 (12B)
63,8,85,9,97,tie,Jurassic 2 Light,Dolly v2 (12B)
63,8,85,9,55,right,Jurassic 2 Light,Dolly v2 (12B)
63,8,85,9,15,left,Jurassic 2 Light,Dolly v2 (12B)
64,8,85,7,97,tie,Jurassic 2 Light,Dolly v2 (3B)
64,8,85,7,70,left,Jurassic 2 Light,Dolly v2 (3B)
65,8,8,85,70,right,Dolly v2 (7B),Jurassic 2 Light
65,8,8,85,97,right,Dolly v2 (7B),Jurassic 2 Light
65,8,8,85,40,tie,Dolly v2 (7B),Jurassic 2 Light
66,8,30,85,116,left,Falcon Instruct (7B),Jurassic 2 Light
66,8,30,85,14,left,Falcon Instruct (7B),Jurassic 2 Light
66,8,30,85,58,tie,Falcon Instruct (7B),Jurassic 2 Light
66,8,30,85,15,right,Falcon Instruct (7B),Jurassic 2 Light
67,8,85,81,47,tie,Jurassic 2 Light,GPT 3.5 Turbo
67,8,85,81,89,right,Jurassic 2 Light,GPT 3.5 Turbo
67,8,85,81,41,tie,Jurassic 2 Light,GPT 3.5 Turbo
67,8,85,81,97,right,Jurassic 2 Light,GPT 3.5 Turbo
68,8,85,82,110,left,Jurassic 2 Light,GPT 3.5 Turbo (16k)
68,8,85,82,107,right,Jurassic 2 Light,GPT 3.5 Turbo (16k)
68,8,85,82,37,left,Jurassic 2 Light,GPT 3.5 Turbo (16k)
68,8,85,82,111,right,Jurassic 2 Light,GPT 3.5 Turbo (16k)
68,8,85,82,6,right,Jurassic 2 Light,GPT 3.5 Turbo (16k)
69,8,85,80,89,right,Jurassic 2 Light,GPT 4
69,8,85,80,97,right,Jurassic 2 Light,GPT 4
69,8,85,80,67,right,Jurassic 2 Light,GPT 4
69,8,85,80,14,right,Jurassic 2 Light,GPT 4
70,8,85,4,41,tie,Jurassic 2 Light,GPT-NeoXT-Chat-Base (20B)
70,8,85,4,85,left,Jurassic 2 Light,GPT-NeoXT-Chat-Base (20B)
70,8,85,4,11,right,Jurassic 2 Light,GPT-NeoXT-Chat-Base (20B)
71,8,85,32,117,right,Jurassic 2 Light,Guanaco (13B)
71,8,85,32,48,right,Jurassic 2 Light,Guanaco (13B)
71,8,85,32,67,tie,Jurassic 2 Light,Guanaco (13B)
71,8,85,32,44,tie,Jurassic 2 Light,Guanaco (13B)
72,8,85,33,116,left,Jurassic 2 Light,Guanaco (33B)
72,8,85,33,97,tie,Jurassic 2 Light,Guanaco (33B)
72,8,85,33,15,right,Jurassic 2 Light,Guanaco (33B)
73,8,34,85,55,right,Guanaco (65B),Jurassic 2 Light
73,8,34,85,48,left,Guanaco (65B),Jurassic 2 Light
73,8,34,85,70,left,Guanaco (65B),Jurassic 2 Light
73,8,34,85,97,tie,Guanaco (65B),Jurassic 2 Light
73,8,34,85,53,left,Guanaco (65B),Jurassic 2 Light
74,8,97,31,55,right,Airoboros L2 70B,Falcon Instruct (40B)
74,8,97,31,40,tie,Airoboros L2 70B,Falcon Instruct (40B)
74,8,97,31,116,tie,Airoboros L2 70B,Falcon Instruct (40B)
74,8,97,31,15,right,Airoboros L2 70B,Falcon Instruct (40B)
75,8,31,29,107,tie,Falcon Instruct (40B),Alpaca (7B)
75,8,31,29,67,right,Falcon Instruct (40B),Alpaca (7B)
75,8,31,29,41,tie,Falcon Instruct (40B),Alpaca (7B)
75,8,31,29,98,right,Falcon Instruct (40B),Alpaca (7B)
75,8,31,29,85,left,Falcon Instruct (40B),Alpaca (7B)
76,8,31,5,70,left,Falcon Instruct (40B),Chronos Hermes (13B)
76,8,31,5,48,right,Falcon Instruct (40B),Chronos Hermes (13B)
76,8,31,5,87,right,Falcon Instruct (40B),Chronos Hermes (13B)
76,8,31,5,53,right,Falcon Instruct (40B),Chronos Hermes (13B)
76,8,31,5,97,left,Falcon Instruct (40B),Chronos Hermes (13B)
77,8,83,31,20,right,Claude Instant v1,Falcon Instruct (40B)
77,8,83,31,46,right,Claude Instant v1,Falcon Instruct (40B)
77,8,83,31,2,left,Claude Instant v1,Falcon Instruct (40B)
77,8,83,31,91,right,Claude Instant v1,Falcon Instruct (40B)
77,8,83,31,42,tie,Claude Instant v1,Falcon Instruct (40B)
78,8,101,31,3,left,Claude v1,Falcon Instruct (40B)
78,8,101,31,74,left,Claude v1,Falcon Instruct (40B)
78,8,101,31,42,right,Claude v1,Falcon Instruct (40B)
78,8,101,31,101,left,Claude v1,Falcon Instruct (40B)
78,8,101,31,46,left,Claude v1,Falcon Instruct (40B)
79,8,100,31,67,left,Claude v1.2,Falcon Instruct (40B)
79,8,100,31,3,right,Claude v1.2,Falcon Instruct (40B)
79,8,100,31,12,left,Claude v1.2,Falcon Instruct (40B)
79,8,100,31,118,left,Claude v1.2,Falcon Instruct (40B)
79,8,100,31,20,right,Claude v1.2,Falcon Instruct (40B)
80,8,84,31,116,right,Claude v2,Falcon Instruct (40B)
80,8,84,31,58,left,Claude v2,Falcon Instruct (40B)
80,8,84,31,83,tie,Claude v2,Falcon Instruct (40B)
80,8,84,31,14,left,Claude v2,Falcon Instruct (40B)
81,8,19,31,70,right,Code Llama Instruct (13B),Falcon Instruct (40B)
81,8,19,31,97,right,Code Llama Instruct (13B),Falcon Instruct (40B)
81,8,19,31,49,right,Code Llama Instruct (13B),Falcon Instruct (40B)
81,8,19,31,112,right,Code Llama Instruct (13B),Falcon Instruct (40B)
82,8,31,20,110,left,Falcon Instruct (40B),Code Llama Instruct (34B)
82,8,31,20,46,left,Falcon Instruct (40B),Code Llama Instruct (34B)
82,8,31,20,37,left,Falcon Instruct (40B),Code Llama Instruct (34B)
83,8,9,31,67,left,Dolly v2 (12B),Falcon Instruct (40B)
83,8,9,31,20,right,Dolly v2 (12B),Falcon Instruct (40B)
83,8,9,31,91,right,Dolly v2 (12B),Falcon Instruct (40B)
83,8,9,31,31,right,Dolly v2 (12B),Falcon Instruct (40B)
83,8,9,31,117,left,Dolly v2 (12B),Falcon Instruct (40B)
84,8,31,8,89,left,Falcon Instruct (40B),Dolly v2 (7B)
84,8,31,8,19,tie,Falcon Instruct (40B),Dolly v2 (7B)
84,8,31,8,78,left,Falcon Instruct (40B),Dolly v2 (7B)
85,8,19,18,23,tie,Code Llama Instruct (13B),Code Llama Instruct (7B)
85,8,19,18,33,right,Code Llama Instruct (13B),Code Llama Instruct (7B)
85,8,19,18,37,left,Code Llama Instruct (13B),Code Llama Instruct (7B)
85,8,19,18,46,tie,Code Llama Instruct (13B),Code Llama Instruct (7B)
86,8,19,7,107,tie,Code Llama Instruct (13B),Dolly v2 (3B)
86,8,19,7,14,tie,Code Llama Instruct (13B),Dolly v2 (3B)
86,8,19,7,91,tie,Code Llama Instruct (13B),Dolly v2 (3B)
86,8,19,7,38,tie,Code Llama Instruct (13B),Dolly v2 (3B)
87,8,90,19,15,tie,Luminous Extended,Code Llama Instruct (13B)
87,8,90,19,116,tie,Luminous Extended,Code Llama Instruct (13B)
88,8,90,8,38,tie,Luminous Extended,Dolly v2 (7B)
88,8,90,8,107,tie,Luminous Extended,Dolly v2 (7B)
88,8,90,8,14,tie,Luminous Extended,Dolly v2 (7B)
88,8,90,8,91,tie,Luminous Extended,Dolly v2 (7B)
89,8,88,19,41,tie,Luminous Supreme,Code Llama Instruct (13B)
89,8,88,19,42,tie,Luminous Supreme,Code Llama Instruct (13B)
89,8,88,19,20,right,Luminous Supreme,Code Llama Instruct (13B)
89,8,88,19,3,left,Luminous Supreme,Code Llama Instruct (13B)
89,8,88,19,46,tie,Luminous Supreme,Code Llama Instruct (13B)
90,8,85,88,98,tie,Jurassic 2 Light,Luminous Supreme
90,8,85,88,85,left,Jurassic 2 Light,Luminous Supreme
90,8,85,88,107,tie,Jurassic 2 Light,Luminous Supreme
90,8,85,88,12,left,Jurassic 2 Light,Luminous Supreme
91,8,3,19,11,left,RedPajama-INCITE Chat (7B),Code Llama Instruct (13B)
91,8,3,19,39,left,RedPajama-INCITE Chat (7B),Code Llama Instruct (13B)
91,8,3,19,87,tie,RedPajama-INCITE Chat (7B),Code Llama Instruct (13B)
91,8,3,19,47,tie,RedPajama-INCITE Chat (7B),Code Llama Instruct (13B)
91,8,3,19,107,left,RedPajama-INCITE Chat (7B),Code Llama Instruct (13B)
92,8,3,85,20,right,RedPajama-INCITE Chat (7B),Jurassic 2 Light
92,8,3,85,38,tie,RedPajama-INCITE Chat (7B),Jurassic 2 Light
92,8,3,85,107,left,RedPajama-INCITE Chat (7B),Jurassic 2 Light
92,8,3,85,91,left,RedPajama-INCITE Chat (7B),Jurassic 2 Light
93,8,19,12,89,tie,Code Llama Instruct (13B),StarCoderChat Alpha (16B)
93,8,19,12,14,tie,Code Llama Instruct (13B),StarCoderChat Alpha (16B)
93,8,19,12,58,tie,Code Llama Instruct (13B),StarCoderChat Alpha (16B)
93,8,19,12,115,tie,Code Llama Instruct (13B),StarCoderChat Alpha (16B)
94,8,12,85,14,tie,StarCoderChat Alpha (16B),Jurassic 2 Light
94,8,12,85,58,tie,StarCoderChat Alpha (16B),Jurassic 2 Light
94,8,12,85,116,right,StarCoderChat Alpha (16B),Jurassic 2 Light
94,8,12,85,15,right,StarCoderChat Alpha (16B),Jurassic 2 Light
94,8,12,85,83,tie,StarCoderChat Alpha (16B),Jurassic 2 Light
95,8,19,76,56,tie,Code Llama Instruct (13B),command-light
95,8,19,76,93,right,Code Llama Instruct (13B),command-light
95,8,19,76,38,tie,Code Llama Instruct (13B),command-light
95,8,19,76,107,tie,Code Llama Instruct (13B),command-light
95,8,19,76,20,right,Code Llama Instruct (13B),command-light
96,8,85,76,116,tie,Jurassic 2 Light,command-light
96,8,85,76,15,right,Jurassic 2 Light,command-light
97,8,76,98,14,right,command-light,Weaver 12k
97,8,76,98,91,right,command-light,Weaver 12k
97,8,76,98,20,right,command-light,Weaver 12k
97,8,76,98,38,tie,command-light,Weaver 12k
97,8,76,98,107,tie,command-light,Weaver 12k
98,8,23,31,89,right,Koala (13B),Falcon Instruct (40B)
98,8,23,31,11,right,Koala (13B),Falcon Instruct (40B)
98,8,23,31,47,tie,Koala (13B),Falcon Instruct (40B)
98,8,23,31,58,tie,Koala (13B),Falcon Instruct (40B)
99,8,23,85,91,tie,Koala (13B),Jurassic 2 Light
99,8,23,85,42,right,Koala (13B),Jurassic 2 Light
99,8,23,85,41,tie,Koala (13B),Jurassic 2 Light
99,8,23,85,2,right,Koala (13B),Jurassic 2 Light
99,8,23,85,25,tie,Koala (13B),Jurassic 2 Light
100,8,30,31,116,right,Falcon Instruct (7B),Falcon Instruct (40B)
100,8,30,31,89,tie,Falcon Instruct (7B),Falcon Instruct (40B)
100,8,30,31,47,tie,Falcon Instruct (7B),Falcon Instruct (40B)
100,8,30,31,11,right,Falcon Instruct (7B),Falcon Instruct (40B)
100,8,30,31,85,left,Falcon Instruct (7B),Falcon Instruct (40B)
